,id,n_victimas,anio,mes,dia,fecha,hora,franja_hora,comuna,tipo_calle,cruce,geocodificacion_CABA,longitud,latitud,victima,acusado,gravedad,vehiculo,sexo,edad,dia_noche
11792,LC-2020-0002346,1,2020,January,2,,,13,2,AVENIDA,si,Point (106797.883397132 104615.00964936),-58.389203129482,-34.587646270159,CICLISTA,AUTO,leve,CICLISTA,varon,61-70,Noche
11793,LC-2020-0003142,1,2020,January,2,,,16,3,CALLE,no,Point (105393.859084365 102333.999776285),-58.404492539573,-34.608216527535,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11795,LC-2020-0004057,1,2020,January,3,,,3,15,CALLE,si,Point (101609.477757533 103183.144235567),-58.445753737126,-34.600574687554,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11798,LC-2020-0005389,1,2020,January,3,,,13,14,AVENIDA,no,Point (105012.522254721 105185.455369613),-58.408666752182,-34.582514184732,MOTO,CICLISTA,leve,MOTO,varon,21-30,Noche
11799,LC-2020-0006408,1,2020,January,3,,,21,15,CALLE,si,Point (98536.5406498828 105187.697470956),-58.479250131233,-34.582504811925,CICLISTA,MOVIL,leve,CICLISTA,varon,31-40,Noche
11801,LC-2020-0007386,1,2020,January,4,,,15,9,CALLE,no,Point (95333.7651975928 98065.5413468762),-58.514197623621,-34.646697085725,PEATON,CICLISTA,leve,PEATON,mujer,71-80,Noche
11802,LC-2020-0009145,1,2020,January,5,,,21,2,AVENIDA,si,Point (105547.605528476 103708.62443504),-58.402825196249,-34.595824269206,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11803,LC-2020-0009835,1,2020,January,6,,,10,1,CALLE,si,Point (106869.21740116 100478.065377604),-58.388392381074,-34.624937924803,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30,Noche
11806,LC-2020-0014353,1,2020,January,7,,,17,2,CALLE,si,Point (105584.569535095 104246.042090377),-58.402425751072,-34.590979554343,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
11809,LC-2020-0016458,1,2020,January,8,,,15,9,CALLE,si,Point (94622.1001284961 97982.9634914525),-58.521960742033,-34.647437946729,CICLISTA,CAMIONETA,leve,CICLISTA,mujer,71-80,Noche
11810,LC-2020-0016725,1,2020,January,8,,,17,15,CALLE,no,Point (101828.8960264 103062.116603747),-58.443361470828,-34.601665326781,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30,Noche
11813,LC-2020-0019258,1,2020,January,9,,,16,15,AVENIDA,si,Point (100272.313364866 104833.497107453),-58.460331410971,-34.585698833823,CICLISTA,AUTO,leve,CICLISTA,varon,41-50,Noche
11815,LC-2020-0020243,1,2020,January,10,,,10,14,AVENIDA,si,Point (103874.909307791 103893.719637555),-58.421060074882,-34.594163324938,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11816,LC-2020-0020892,1,2020,January,10,,,12,11,AVENIDA,no,Point (98367.1047859378 101900.227816018),-58.481103390744,-34.612139224711,CICLISTA,AUTO,leve,CICLISTA,varon,41-50,Noche
11817,LC-2020-0021470,1,2020,January,10,,,10,1,CALLE,si,Point (107758.653044419 101054.971570339),-58.378698512840,-34.619731174875,CICLISTA,CAMIONETA,leve,CICLISTA,varon,51-60,Noche
11818,LC-2020-0021828,1,2020,January,10,,,19,15,AVENIDA,no,Point (99195.0870724338 105487.765878279),-58.472072162249,-34.579800620133,CICLISTA,MOTO,leve,CICLISTA,mujer,21-30,Noche
11820,LC-2020-0021928,1,2020,January,10,,,18,14,CALLE,no,Point (103798.540116068 103557.922692032),-58.421891077932,-34.597190625659,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11821,LC-2020-0022552,1,2020,January,11,,,8,8,AVENIDA,si,Point (101222.864634897 96044.3439411509),-58.449958608829,-34.664927069505,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11822,LC-2020-0023539,1,2020,January,11,,,21,9,AVENIDA,si,Point (95662.7765194608 97729.8348371465),-58.510610625883,-34.649724726312,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11823,LC-2020-0024603,1,2020,January,12,,,20,3,AVENIDA,si,Point (105431.904002449 101626.27280278),-58.404073266087,-34.614596069049,CICLISTA,AUTO,leve,CICLISTA,varon,51-60,Noche
11824,LC-2020-0024721,1,2020,January,12,,,0,5,CALLE,no,Point (103518.644799133 100069.262696098),-58.424928023058,-34.628639816388,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11825,LC-2020-0024819,1,2020,January,13,,,18,11,CALLE,no,Point (95740.9489340896 102845.50604109),-58.509731889638,-34.603610414825,CICLISTA,CAMIONETA,leve,CICLISTA,varon,51-60,Noche
11827,LC-2020-0026536,1,2020,January,13,,,23,14,CALLE,si,Point (102560.528895277 104924.852380959),-58.435390882598,-34.584872283738,CICLISTA,TAXI,leve,CICLISTA,varon,21-30,Noche
11829,LC-2020-0027088,1,2020,January,13,,,18,4,AVENIDA,no,Point (106024.723169593 98427.1144789266),-58.397586970376,-34.643431225039,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,varon,21-30,Noche
11832,LC-2020-0031929,1,2020,January,15,,,19,12,AVENIDA,si,Point (96057.5497429674 106769.209230083),-58.506261843471,-34.568241676584,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11834,LC-2020-0033993,1,2020,January,16,,1900-01-01 15:50:00,15,SD,SD,no,SD,SD,SD,CICLISTA,AUTO,leve,CICLISTA,varon,51-60,Día
11835,LC-2020-0034428,1,2020,January,16,,,20,2,CALLE,no,Point (106315.785609661 104511.000478746),-58.394457189438,-34.588586906193,CICLISTA,CAMIONETA,leve,CICLISTA,varon,41-50,Noche
11837,LC-2020-0036502,1,2020,January,17,,,16,4,CALLE,si,Point (105289.659199484 99127.4618031136),-58.405608797816,-34.637122055018,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,varon,41-50,Noche
11838,LC-2020-0036958,1,2020,January,17,,,19,13,AVENIDA,si,Point (101507.649075381 107946.371057755),-58.446871975618,-34.557636915520,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
11839,LC-2020-0037018,1,2020,January,17,,,22,15,CALLE,si,Point (102905.701652977 103641.649305667),-58.43162434387,-34.596438744474,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30,Noche
11840,LC-2020-0040501,1,2020,January,20,,1900-01-01 12:00:00,12,SD,SD,no,SD,SD,SD,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Día
11841,LC-2020-0041821,1,2020,January,20,,,18,13,AVENIDA,si,Point (99370.491926601 108787.534531834),-58.470157786089,-34.550055046949,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11843,LC-2020-0042151,1,2020,January,20,,,19,14,CALLE,si,Point (102543.971725191 106777.161649474),-58.435576772485,-34.568174748982,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,varon,21-30,Noche
11844,LC-2020-0042671,1,2020,January,21,,,8,3,AVENIDA,no,Point (105649.972334453 100593.881395746),-58.401688760795,-34.623901288851,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11845,LC-2020-0044173,1,2020,January,21,,,20,12,CALLE,si,Point (98743.4203306789 108190.013154654),-58.476990665875,-34.555440794844,CICLISTA,TAXI,leve,CICLISTA,varon,21-30,Noche
11846,LC-2020-0044261,1,2020,January,21,,,14,3,AVENIDA,si,Point (106550.674355904 102097.745269782),-58.391878429433,-34.610339553516,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,mujer,21-30,Noche
11847,LC-2020-0046459,1,2020,January,22,,,14,1,CALLE,si,Point (106915.615810587 102789.40353996),-58.387905106722,-34.604102286485,CICLISTA,MOTO,leve,CICLISTA,varon,11-20,Noche
11848,LC-2020-0049943,1,2020,January,24,,,22,1,AVENIDA,si,Point (109583.116200524 102006.720699212),-58.358815066481,-34.611136413572,CICLISTA,AUTO,leve,CICLISTA,mujer,41-50,Noche
11850,LC-2020-0052154,1,2020,January,24,,,19,14,AVENIDA,si,Point (104600.499459845 105930.857216023),-58.413161479160,-34.575796696868,CICLISTA,TAXI,leve,CICLISTA,mujer,21-30,Noche
11853,LC-2020-0056047,2,2020,January,27,,,12,14,CALLE,no,Point (102583.324410592 105277.71730149),-58.435143471395,-34.581691343344,CICLISTA,TAXI,leve,CICLISTA,varon,41-50,Noche
11854,LC-2020-0056047,2,2020,January,27,,,12,14,CALLE,no,Point (102583.324410592 105277.71730149),-58.435143471395,-34.581691343344,CICLISTA,TAXI,leve,CICLISTA,mujer,31-40,Noche
11855,LC-2020-0057129,1,2020,January,27,,,18,6,AVENIDA,no,Point (102640.395821399 100395.47494654),-58.434506571639,-34.625701802135,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,mujer,21-30,Noche
11857,LC-2020-0057681,1,2020,January,28,,,13,15,CALLE,si,Point (101003.474917631 104014.918546015),-58.452361075817,-34.593077450977,CICLISTA,OTRO,leve,CICLISTA,varon,31-40,Noche
11858,LC-2020-0058400,1,2020,January,28,,,11,7,CALLE,no,Point (99865.9968062939 100113.658291274),-58.464761179353,-34.628245448211,CICLISTA,AUTO,leve,CICLISTA,varon,11-20,Noche
11859,LC-2020-0058549,1,2020,January,28,,,13,9,CALLE,no,Point (95746.3296825554 95878.0399807177),-58.509708649178,-34.666417791716,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11862,LC-2020-0058430,1,2020,January,28,,1900-01-01 09:57:00,9,SD,SD,no,0,0,0,CICLISTA,OBJETO FIJO,leve,CICLISTA,varon,21-30,Día
11865,LC-2020-0062249,1,2020,January,29,,,15,14,AVENIDA,si,Point (104600.241216231 104687.643355875),-58.413157644063,-34.587003592548,CICLISTA,AUTO,leve,CICLISTA,varon,11-20,Noche
11866,LC-2020-0062620,1,2020,January,30,,,1,15,AVENIDA,si,Point (101259.92486262 102925.584769692),-58.449564062602,-34.602896908379,CICLISTA,MOTO,leve,CICLISTA,varon,21-30,Noche
11869,LC-2020-0066637,1,2020,January,31,,,14,4,CALLE,no,Point (107814.26636606 99067.5943669616),-58.378073910514,-34.637645724919,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11870,LC-2020-0066977,1,2020,January,31,,,16,12,CALLE,si,Point (99058.9567861462 107706.643217394),-58.473553233610,-34.559798483607,CICLISTA,CAMIONETA,leve,CICLISTA,varon,51-60,Noche
11872,LC-2020-0067167,1,2020,January,31,,,19,11,CALLE,si,Point (99133.9952896424 102014.617093156),-58.472741762441,-34.611109047295,CICLISTA,AUTO,leve,CICLISTA,varon,51-60,Noche
11873,LC-2020-0067413,1,2020,January,31,,,17,3,CALLE,no,Point (106064.630727513 102301.183588324),-58.397179147371,-34.608508638067,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11875,LC-2020-0067645,1,2020,February,1,,,23,15,AVENIDA,si,Point (97283.923361658 103571.945590611),-58.492907996304,-34.597067301924,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,varon,31-40,Noche
11876,LC-2020-0068444,1,2020,February,1,,,13,15,CALLE,si,Point (97377.7805421877 104588.352675911),-58.491881640687,-34.587905210107,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11877,LC-2020-0068752,1,2020,February,1,,,18,14,AVENIDA,si,Point (103373.451163272 105668.332462549),-58.426533288920,-34.578167911210,CICLISTA,MOTO,leve,CICLISTA,varon,41-50,Noche
11878,LC-2020-0068788,1,2020,February,1,,,15,9,CALLE,no,Point (94251.5315896231 98553.6483808466),-58.525998897473,-34.642291557395,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11881,LC-2020-0071399,1,2020,February,3,,,11,15,AVENIDA,si,Point (101742.819870789 103827.755333883),-58.444301374112,-34.594763673349,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11884,LC-2020-0071969,1,2020,February,3,,,8,7,CALLE,si,Point (103355.397937045 98970.5866768025),-58.426703998234,-34.638544236401,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11885,LC-2020-0072988,1,2020,February,4,,,23,13,CALLE,si,Point (100368.699104616 107601.981505283),-58.459281859565,-34.560742390015,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,varon,21-30,Noche
11886,LC-2020-0073866,1,2020,February,4,,,10,4,AVENIDA,si,Point (104671.281501359 98710.0379639631),-58.412350792404,-34.640887838079,CICLISTA,AUTO,leve,CICLISTA,varon,11-20,Noche
11887,LC-2020-0073922,1,2020,February,4,,,11,15,CALLE,si,Point (102075.888937453 104304.918313999),-58.440671771778,-34.590461714663,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30,Noche
11889,LC-2020-0075849,1,2020,February,5,,,7,15,CALLE,si,Point (101744.611890085 104632.565127093),-58.444283440513,-34.587508758536,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11890,LC-2020-0078156,1,2020,February,6,,,17,15,AVENIDA,no,Point (100890.15014381 105483.182075145),-58.453597831205,-34.579841961076,CICLISTA,CAMIONETA,leve,CICLISTA,varon,31-40,Noche
11891,LC-2020-0079959,1,2020,February,6,,,16,2,CALLE,si,Point (105302.711726504 104667.960483536),-58.405500708019,-34.587177674301,CICLISTA,CAMIONETA,leve,CICLISTA,varon,41-50,Noche
11893,LC-2020-0083974,1,2020,February,8,,,13,12,AVENIDA,si,Point (97441.2874534714 108228.652980351),-58.491178226865,-34.555089991374,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11894,LC-2020-0084961,1,2020,February,9,,,13,13,AVENIDA,no,Point (102948.779413782 109132.524781732),-58.431173439107,-34.546941288041,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11898,LC-2020-0088144,1,2020,February,10,,,17,11,CALLE,si,Point (98906.4744945862 101869.181556519),-58.475222616667,-34.612419833831,CICLISTA,AUTO,leve,CICLISTA,varon,51-60,Noche
11900,LC-2020-0090466,1,2020,February,11,,,18,12,AVENIDA,no,Point (96958.4201447334 107918.704945505),-58.496440521101,-34.557882675239,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11901,LC-2020-0090656,1,2020,February,11,,,20,4,AVENIDA,si,Point (106842.488714376 97073.994525969),-58.388656583654,-34.655623632519,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
11903,LC-2020-0090691,1,2020,February,11,,,15,2,CALLE,si,Point (104500.665900477 103604.245585015),-58.41423732822,-34.596770251375,CICLISTA,TAXI,leve,CICLISTA,mujer,41-50,Noche
11905,LC-2020-0091137,1,2020,February,12,,,21,5,CALLE,si,Point (104122.468691341 102660.342983076),-58.418355577062,-34.605280559191,CICLISTA,TAXI,leve,CICLISTA,mujer,11-20,Noche
11907,LC-2020-0091559,1,2020,February,12,,,8,15,CALLE,si,Point (101054.415842516 104392.043066668),-58.451806231102,-34.589677835259,CICLISTA,AUTO,leve,CICLISTA,varon,51-60,Noche
11908,LC-2020-0093173,1,2020,February,12,,,16,12,CALLE,si,Point (96872.081656063 104830.867583659),-58.497392828956,-34.585717629585,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11910,LC-2020-0093902,1,2020,February,12,,,19,1,CALLE,si,Point (107366.576658015 100914.386506107),-58.382972544389,-34.621001332636,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11911,LC-2020-0095119,1,2020,February,13,,1900-01-01 07:00:00,7,SD,SD,no,SD,SD,SD,MOTO,CICLISTA,leve,MOTO,varon,31-40,Día
11913,LC-2020-0096444,1,2020,February,13,,,16,5,AVENIDA,si,Point (104290.784429732 100919.102457299),-58.416511867917,-34.620976130709,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11916,LC-2020-0098841,1,2020,February,14,,,14,14,AVENIDA,si,Point (104132.399305704 105067.506916019),-58.418258868542,-34.583581295303,PEATON,CICLISTA,leve,PEATON,mujer,21-30,Noche
11917,LC-2020-0099290,1,2020,February,14,,,18,1,AVENIDA,si,Point (106778.934147897 102776.660829402),-58.389395118444,-34.604218058920,CICLISTA,CICLISTA,leve,CICLISTA,varon,11-20,Noche
11918,LC-2020-0099639,1,2020,February,15,,,22,12,CALLE,si,Point (97855.2955118769 106568.747908945),-58.486671621303,-34.570054149120,CICLISTA,AUTO,leve,CICLISTA,varon,11-20,Noche
11919,LC-2020-0100026,1,2020,February,15,,,8,2,AVENIDA,si,Point (105475.138683933 103902.463334411),-58.403616393674,-34.594077306511,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11920,LC-2020-0100319,1,2020,February,15,,,14,10,CALLE,si,Point (96585.2755515813 101851.824399005),-58.500531095742,-34.612571075624,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11922,LC-2020-0101264,1,2020,February,16,,,2,15,AVENIDA,si,Point (98816.0276881988 104069.505871871),-58.476205561583,-34.592585067395,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11927,LC-2020-0107729,1,2020,February,18,,,12,10,CALLE,no,Point (95372.9966497737 99724.2111533258),-58.513760536197,-34.631745404702,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
11928,LC-2020-0107738,1,2020,February,18,,,18,12,CALLE,si,Point (98138.2861238966 106142.673354344),-58.483588655052,-34.573895552498,CICLISTA,AUTO,leve,CICLISTA,varon,81+,Noche
11931,LC-2020-0111765,1,2020,February,20,,,9,1,AVENIDA,si,Point (107193.66179124 102280.565239988),-58.384869551224,-34.608687268948,CICLISTA,TAXI,leve,CICLISTA,mujer,21-30,Noche
11932,LC-2020-0111930,1,2020,February,20,,,9,5,CALLE,si,Point (103470.462399099 103085.759089619),-58.425465609710,-34.601448054706,CICLISTA,AUTO,leve,CICLISTA,varon,51-60,Noche
11933,LC-2020-0112330,1,2020,February,20,,,8,11,GRAL PAZ,si,Point (95225.8210894813 105110.368420677),-58.515334938952,-34.583191663632,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,mujer,21-30,Noche
11937,LC-2020-0115054,1,2020,February,21,,,15,5,CALLE,si,Point (104266.88124229 101889.220806122),-58.416777331557,-34.612231191633,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11941,LC-2020-0116899,1,2020,February,22,,,15,14,AVENIDA,si,Point (103813.209708269 106372.037796893),-58.421743609580,-34.571822869962,CICLISTA,AUTO,leve,CICLISTA,varon,11-20,Noche
11944,LC-2020-0117531,1,2020,February,23,,,23,4,AVENIDA,si,Point (107903.918285871 98767.4309142529),-58.377093345924,-34.640350824684,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11945,LC-2020-0118658,1,2020,February,23,,,21,5,AVENIDA,si,Point (104354.243827499 102044.186541119),-58.415825590649,-34.610833904689,PEATON,CICLISTA,leve,PEATON,varon,31-40,Noche
11946,LC-2020-0119620,1,2020,February,24,,1900-01-01 13:10:00,13,SD,SD,no,SD,SD,SD,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Día
11948,LC-2020-0122704,1,2020,February,26,,,12,10,CALLE,no,Point (97606.5968986076 99603.4890407373),-58.489401934661,-34.632841404833,CICLISTA,AUTO,leve,CICLISTA,mujer,71-80,Noche
11949,LC-2020-0123819,1,2020,February,26,,,17,7,CALLE,si,Point (101627.957982773 99806.9791729651),-58.445546012974,-34.631008783434,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11950,LC-2020-0124517,1,2020,February,27,,,1,13,CALLE,si,Point (99593.9840482907 109844.175883032),-58.467722262235,-34.540530066282,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11951,LC-2020-0125686,1,2020,February,27,,,11,11,CALLE,si,Point (95098.3776810938 101784.028042665),-58.516743405834,-34.613176115353,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11952,LC-2020-0126455,1,2020,February,27,,,15,4,CALLE,si,Point (108425.707408378 98999.2802910845),-58.371404584348,-34.638256723248,CICLISTA,AUTO,leve,CICLISTA,varon,41-50,Noche
11954,LC-2020-0127069,1,2020,February,27,,,20,3,CALLE,si,Point (106309.566230496 100965.79310003),-58.394498857934,-34.620544921846,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11955,LC-2020-0127087,1,2020,February,27,,,18,5,CALLE,si,Point (104609.122896515 99548.143457091),-58.413033252937,-34.633333121485,CICLISTA,CICLISTA,leve,CICLISTA,mujer,31-40,Noche
11956,LC-2020-0127099,1,2020,February,27,,,18,13,AVENIDA,si,Point (99768.0438795891 107743.873144557),-58.465826800683,-34.559463317179,CICLISTA,CAMIONETA,leve,CICLISTA,varon,11-20,Noche
11957,LC-2020-0127880,1,2020,February,28,,,13,10,AVENIDA,no,Point (95629.5372770405 100521.397796575),-58.510958623245,-34.624560396245,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11958,LC-2020-0128795,1,2020,February,28,,,12,2,CALLE,no,Point (105241.015746152 104033.362276057),-58.406169311149,-34.592898535420,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11962,LC-2020-0132443,1,2020,March,1,,,13,15,CALLE,si,Point (102564.930283538 103080.730379267),-58.435337459452,-34.601495998717,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,mujer,61-70,Noche
11963,LC-2020-0132882,1,2020,March,1,,,17,14,AVENIDA,si,Point (103662.913639291 103496.492060194),-58.423369304250,-34.597744873389,CICLISTA,TAXI,leve,CICLISTA,varon,31-40,Noche
11965,LC-2020-0133911,1,2020,March,2,,,10,6,CALLE,si,Point (100839.9088848 101826.006542239),-58.454142025615,-34.612809373699,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
11966,LC-2020-0134749,1,2020,March,2,,,21,7,AVENIDA,si,Point (102384.967723386 99370.8295728942),-58.437289173172,-34.634938961446,CICLISTA,AUTO,leve,CICLISTA,varon,11-20,Noche
11968,LC-2020-0135603,1,2020,March,2,,,21,15,AVENIDA,si,Point (102168.721673862 104185.148158328),-58.439659569675,-34.591541189028,CICLISTA,MOTO,leve,CICLISTA,mujer,21-30,Noche
11969,LC-2020-0136526,1,2020,March,3,,,9,1,AVENIDA,si,Point (108204.560908589 102884.901223398),-58.373853861070,-34.603232007757,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11970,LC-2020-0137396,1,2020,March,3,,,13,11,CALLE,no,Point (98438.6714341838 101863.190694024),-58.480323161100,-34.612473207780,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11971,LC-2020-0138351,1,2020,March,3,,,18,3,AVENIDA,si,Point (106566.405396026 101230.397966054),-58.391700259041,-34.618158071252,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11972,LC-2020-0138568,1,2020,March,3,,,20,7,CALLE,si,Point (100440.2324573 101483.207295739),-58.458499627703,-34.615899734142,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11973,LC-2020-0140067,1,2020,March,4,,,11,15,AVENIDA,no,Point (97840.5847560632 104671.447002967),-58.486836877060,-34.587157262588,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,mujer,21-30,Noche
11975,LC-2020-0140751,1,2020,March,4,,,14,11,CALLE,si,Point (98172.2466485191 102033.579691025),-58.483227657697,-34.61093679692,CICLISTA,AUTO,leve,CICLISTA,varon,41-50,Noche
11977,LC-2020-0142597,1,2020,March,5,,,9,5,CALLE,si,Point (103392.847362437 100642.814353839),-58.426302137447,-34.623470015266,CICLISTA,TAXI,leve,CICLISTA,mujer,51-60,Noche
11978,LC-2020-0143936,1,2020,March,5,,,16,10,AVENIDA,si,Point (97012.979148214 100059.016272015),-58.495874196148,-34.628733518748,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11980,LC-2020-0144534,1,2020,March,5,,,7,9,AVENIDA,si,Point (98519.9167678064 97245.1050992624),-58.479445693043,-34.654102513527,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11981,LC-2020-0145084,1,2020,March,6,,,8,11,CALLE,si,Point (98793.0187717794 101796.463790065),-58.476459751077,-34.613075208427,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11982,LC-2020-0145630,1,2020,March,6,,,8,9,AVENIDA,no,Point (98049.8414315369 98193.2673405569),-58.484571320499,-34.645554629669,CICLISTA,TRANSPORTE PUBLICO,leve,CICLISTA,varon,21-30,Noche
11985,LC-2020-0148537,2,2020,March,7,,,17,9,AVENIDA,si,Point (97148.0388174746 96734.7910614913),-58.494412737058,-34.658699686935,CICLISTA,CAMIONETA,leve,CICLISTA,mujer,31-40,Noche
11986,LC-2020-0148537,2,2020,March,7,,,17,9,AVENIDA,si,Point (97148.0388174746 96734.7910614913),-58.494412737058,-34.658699686935,CICLISTA,CAMIONETA,leve,CICLISTA,varon,11-20,Noche
11988,LC-2020-0149573,1,2020,March,8,,,13,13,CALLE,si,Point (99480.3253247839 107121.43247962),-58.468962274174,-34.565074179242,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
11989,LC-2020-0149915,1,2020,March,8,,,20,14,AVENIDA,si,Point (103662.913639291 103496.492060194),-58.423369304250,-34.597744873389,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11991,LC-2020-0152130,1,2020,March,9,,,14,2,AVENIDA,si,Point (106054.021119916 105122.196788204),-58.397314748992,-34.583078872657,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11997,LC-2020-0158454,1,2020,March,11,,,19,8,AVENIDA,no,Point (99091.9557018373 94932.4828098598),-58.473208170175,-34.674949961872,CICLISTA,CAMIONETA,leve,CICLISTA,varon,41-50,Noche
11998,LC-2020-0156460,1,2020,March,11,,1900-01-01 07:30:00,7,SD,SD,no,Point (103874.909210399 103893.719726091),0,0,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Día
11999,LC-2020-0160262,1,2020,March,12,,,13,10,CALLE,si,Point (96585.2755515813 101851.824399005),-58.500531095742,-34.612571075624,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
12001,LC-2020-0161786,1,2020,March,13,,,1,14,CALLE,si,Point (103578.811560786 104037.245854293),-58.424288365316,-34.592870575471,CICLISTA,AUTO,leve,CICLISTA,mujer,21-30,Noche
12003,LC-2020-0165617,1,2020,March,15,,,23,14,AVENIDA,si,Point (103813.209708269 106372.037796893),-58.421743609580,-34.571822869962,CICLISTA,TAXI,leve,CICLISTA,varon,21-30,Noche
12005,LC-2020-0166750,1,2020,March,15,,,21,2,CALLE,si,Point (105810.537246005 104132.53820999),-58.399961853587,-34.592001486557,CICLISTA,OBJETO FIJO,leve,CICLISTA,varon,61-70,Noche
12008,LC-2020-0168089,1,2020,March,16,,,7,10,AVENIDA,si,Point (94420.3772972654 100090.664193545),-58.524147067805,-34.628437266016,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
12009,LC-2020-0169692,1,2020,March,17,,,15,10,AVENIDA,si,Point (97356.3837321517 99220.756193461),-58.492131936371,-34.636290875420,CICLISTA,TAXI,leve,CICLISTA,varon,21-30,Noche
12013,LC-2020-0173791,1,2020,March,19,,,12,7,CALLE,si,Point (100571.486959754 99796.176256048),-58.457067451228,-34.631107241279,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
12014,LC-2020-0174002,1,2020,March,19,,,12,1,AVENIDA,si,Point (108779.435478008 101503.022112794),-58.367572401581,-34.615684099544,CICLISTA,CAMIONETA,leve,CICLISTA,varon,31-40,Noche
12015,LC-2020-0178177,1,2020,March,24,,,23,1,CALLE,no,Point (106768.136187976 102441.629341367),-58.389510188850,-34.607238242237,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
